stage,kappa,theta,vol_of_vol,rho,v0,sse,rmse,mae
initial_guess,0.8,0.08,0.8,-0.1,0.09,0.012975174214422024,0.06576517369758866,0.0656749686320145
calibrated,2.161473076346802,0.09482291540052123,1.4784165825718336,-0.9989999451415107,0.024863379257713304,1.521158571838915e-16,7.1207644061549904e-09,5.78453161296603e-09
