run_id,initial_kappa,initial_theta,initial_vol_of_vol,initial_rho,initial_v0,final_kappa,final_theta,final_vol_of_vol,final_rho,final_v0,initial_sse,final_sse,initial_rmse,final_rmse,initial_mae,final_mae,improvement_factor,success,nfev,message
10,1.3505814150018405,0.031013213375304688,0.3227863451246126,-0.6016490791023297,0.06278187740986033,1.8637352100992146,0.02484036771874105,0.3438756012337802,0.3575467319826591,0.057337869638995356,0.001546982611021131,3.9938184685864884e-24,0.022708167480894995,1.1538079661980858e-12,0.02076769108538749,1.0227929614359255e-12,15469826110211.31,True,47,`gtol` termination condition is satisfied.
14,0.6533646910077092,0.06285455517175739,0.7364908815106739,-0.376943289494629,0.060472825611584076,1.3001792376598682,0.03114489476589313,0.362880978786514,-0.051720479256374144,0.047994018938730704,0.0010592933918091058,9.430823097009477e-24,0.018790896659545066,1.773022193601411e-12,0.016752339334765044,1.5092464315339764e-12,10592933918091.059,True,37,`gtol` termination condition is satisfied.
9,0.7715683358961525,0.07082668871057407,0.46653447974073226,-0.46751817694817577,0.042154214532278175,0.6217024083842906,0.06239863411461271,0.38438386356415694,-0.609647337635948,0.03633502193751755,0.0006956305730676679,1.1182546341459444e-20,0.015227503330790069,6.105338194689257e-11,0.01503122983548813,5.3689950633521257e-11,6956305730676.679,True,20,`gtol` termination condition is satisfied.
11,0.9064567749419465,0.048029375343666664,0.3022267765053181,-0.6594661260920904,0.07031111588258766,0.9027605780947424,0.027972291185161483,0.4018214903646826,0.12321255638406726,0.0504608542213287,0.007400215702504756,3.105303297136598e-19,0.049666271930773956,3.2172987101690335e-10,0.049305929566833245,2.522180519992645e-10,74002157025047.56,True,69,`gtol` termination condition is satisfied.
5,1.155733499560962,0.04161327952685212,0.6484522779484556,-0.55863767969234,0.04290365911999358,1.3049218110701486,0.05075984555260524,0.39034384973233704,-0.8241858488310074,0.03419879516544107,0.0006490570076237181,6.007478727059424e-18,0.014708920282419533,1.4150946643316156e-09,0.012315615551780948,1.1046919952869179e-09,6490570076237.182,True,36,`gtol` termination condition is satisfied.
19,2.5490690652325836,0.08591905186413798,0.7586996239077552,-0.7356482726121973,0.03963721253195879,2.6745399814117987,0.08750182927159411,1.6214946571671527,-0.9988966261109694,0.024540531050357993,0.007442636063765475,6.972891564522877e-18,0.04980841984967828,1.5245645897023493e-09,0.04920062183601528,1.3247753634833732e-09,74426360637654.75,True,39,`gtol` termination condition is satisfied.
15,1.7655393673919932,0.06633806007856469,0.5860136859944811,-0.5606021405743764,0.03492454712930077,2.715147820361865,0.08768501061045117,1.6526898649092099,-0.9986113410406962,0.02461645722807216,0.001088702878114699,3.272341276346517e-17,0.019049959563515254,3.3026965126224344e-09,0.017814496549200753,2.7416193204565786e-09,10887028781146.99,True,30,`gtol` termination condition is satisfied.
18,2.6179731892232665,0.09653331035750588,0.5232122051140682,-0.40111585553687124,0.053627033542723954,4.7401012195925585,0.09092786783215556,3.094353847103599,-0.9989810751313929,0.02895546693729512,0.020641227141235615,1.1410849801000572e-16,0.08294823112688142,6.167346755561523e-09,0.08189628648716875,5.649309547939296e-09,180891235107009.03,True,53,`gtol` termination condition is satisfied.
17,0.6141360799619273,0.08295352791021701,0.3543031791390035,-0.605005981170543,0.05130527677477194,1.634532929016944,0.054437304262314946,0.45581641944950146,-0.9953974893343172,0.030520938967232875,0.004355757914608996,1.8004643413383446e-16,0.038104058902821175,7.746965731472645e-09,0.03803760182760924,7.110943038105925e-09,24192414226716.746,True,34,`gtol` termination condition is satisfied.
23,2.376371936210583,0.050522689811474175,0.4706215731992851,-0.7350892810775415,0.05594558156172956,0.14821286967817526,0.10205387430268528,0.395322755567367,-0.2350520497216968,0.04118415356858667,0.0023595522631309936,2.9220356080249355e-16,0.02804491791829073,9.869203966590442e-09,0.02790343554755263,9.741910333982418e-09,8075029122337.985,True,20,`gtol` termination condition is satisfied.
3,1.8311290925508765,0.047147522074815755,0.8769691172681879,-0.7431185183124522,0.08190269365642969,2.610661111193711,0.03818278424199133,0.2779661772756767,-0.9860881074620081,0.03808906444889071,0.002935808745330468,3.1351575496190235e-16,0.031282629606702764,1.0222781013695219e-08,0.025421331089823297,5.97009712962245e-09,9364150601258.365,True,134,`gtol` termination condition is satisfied.
8,1.2668766967174268,0.08579304872284252,0.9056551989906154,-0.7002810521812713,0.06689294588212079,1.42836186950284,0.0552642254642503,0.4304958219135316,-0.9613234879692355,0.031163090972476545,0.0049311609304995025,3.6644782276418406e-16,0.04054282069820131,1.1052116279461053e-08,0.0397996161624888,1.0571211822574256e-08,13456652282179.871,True,39,`gtol` termination condition is satisfied.
12,1.6255170510790804,0.08845716431159986,0.7315438759871329,-0.7169580439943626,0.08677154779226581,2.1772099214937244,0.0962907714179647,1.525761464344894,-0.9989998434149909,0.025133861371350364,0.017686863265684607,4.0249691573574966e-16,0.07678294790226237,1.1582989190126322e-08,0.07650358675174294,1.0404430261790054e-08,43942854154183.19,True,82,`gtol` termination condition is satisfied.
1,2.2376444717955444,0.03376747131615559,0.45425191094082795,-0.7578140946506651,0.04231341307595213,2.1217969976629423,0.039152112343829704,0.320071420159006,-0.7784589041866447,0.03853568553441509,0.0003041914090866515,5.120084343946264e-16,0.010069614509116878,1.3064052898375072e-08,0.008304001467249763,1.2622976016303985e-08,594114058777.7865,True,31,`gtol` termination condition is satisfied.
21,1.9421992251207971,0.06001643773464137,0.9010181950915479,-0.7695843122355028,0.05522475895742652,2.5240318948320395,0.03934384221222985,0.297124585094029,-0.9989704078966587,0.036953790411231285,0.0009050520708071674,6.691587799176244e-16,0.017369053618501763,1.4934956532886467e-08,0.01545685355058706,1.397466496226111e-08,1352522148657.4265,True,47,`gtol` termination condition is satisfied.
6,0.6357478002245573,0.06297932602233226,0.8097703297282832,-0.3906997541132283,0.07378738040148249,0.7559249399754789,0.008997010713654269,0.5942528200069337,0.6667629457786661,0.0707046710107792,0.003096151336671626,1.0912640449090818e-15,0.03212554194962645,1.907235385673097e-08,0.029572157299232515,1.64604523807584e-08,2837215567685.6196,True,33,`gtol` termination condition is satisfied.
2,2.5490268159738565,0.09463414986189395,0.4936020784579743,-0.44012271920349894,0.09229248851778302,3.0607304807814995,0.033214963060315794,0.15211995661121933,-0.9989999999999999,0.044775674712587525,0.033319566407732086,1.2481478314778104e-15,0.10538748567031427,2.0397286024353096e-08,0.10531879998125926,1.618786190279072e-08,26695208345858.863,True,117,`gtol` termination condition is satisfied.
24,1.388532209954754,0.07288491702727057,0.6813007801341452,-0.47517844755454564,0.05064679997982281,2.161611162676677,0.09480305755769584,1.4780279520362332,-0.9989999883690504,0.024860491088595945,0.0028025487624424145,2.38956642115857e-15,0.03056440610929874,2.822272383003083e-08,0.03048672166928042,2.5299957453113937e-08,1172827311945.408,True,101,`gtol` termination condition is satisfied.
7,2.8010941741142457,0.09052831757656424,0.45270001127499154,-0.4169362846308785,0.08115263554598777,2.42814916072891,0.040412937944924385,0.31414935311483416,-0.9988877917965463,0.03609024905101954,0.02788761045825762,3.5449072972532348e-15,0.09641509297175696,3.437492931994302e-08,0.096222281692861,2.862307769505949e-08,7866950563098.303,True,131,`gtol` termination condition is satisfied.
